f_n,d,N,pi_s,max_d,emp_d
1144,16,10000,1.8,0.08311734426390815,0.25073566064256225
1145,16,10000,1.8,0.07484356261712836,0.24615698600903227
1146,16,10000,1.8,0.0792418185478807,0.2633900534925405
1147,16,10000,1.8,0.07038992249696359,0.2625217304740824
1148,16,10000,1.8,0.07027697492133096,0.2582162895213369
1149,16,10000,1.8,0.1753008127752648,0.22653236320773848
1150,16,10000,1.8,0.07603156383836418,0.2628372272183748
1151,16,20000,1.0,0.04941190226570334,0.1267523735845325
1152,16,20000,1.0,0.047510087473281025,0.11835775781642645
1153,16,20000,1.0,0.050344635166158884,0.10173247926900293
1154,16,20000,1.0,0.050735696524112146,0.12131553236690244
1155,16,20000,1.0,0.05086569048639507,0.1252088194029722
1156,16,20000,1.0,0.04909398890334647,0.12481685746202029
1157,16,20000,1.0,0.049361325221033765,0.11032893333960204
1158,16,20000,1.0,0.04951233279537283,0.12344789715830319
1159,16,20000,1.0,0.048716691332265985,0.12577026365601793
1160,16,20000,1.0,0.049392087870822644,0.12841109354070382
1161,16,20000,1.2,0.053682300803605976,0.14638650657765068
1162,16,20000,1.2,0.05229282384231427,0.14599426123056006
1163,16,20000,1.2,0.06581493678034968,0.1341172611317165
1164,16,20000,1.2,0.05196620678955867,0.1414416068299737
1165,16,20000,1.2,0.05224080490210025,0.1425662210344298
1166,16,20000,1.2,0.060808434695069115,0.14513385677056978
1167,16,20000,1.2,0.05069336850931728,0.1427602459659845
1168,16,20000,1.2,0.05758127103685928,0.12618459698942586
1169,16,20000,1.2,0.0584817857248666,0.1547376886385221
1170,16,20000,1.2,0.0576730253861373,0.15652344405266388
1171,16,20000,1.4,0.0614904363155787,0.166323822430553
1172,16,20000,1.4,0.06616094421422386,0.18176324216859102
1173,16,20000,1.4,0.06647397814470808,0.15601914393270666
1174,16,20000,1.4,0.06434463548446816,0.1830314804717226
1175,16,20000,1.4,0.056777289000480215,0.17467255733510628
1176,16,20000,1.4,0.0662996657701044,0.18301444548174525
1177,16,20000,1.4,0.06375227687674602,0.16795172284567964
1178,16,20000,1.4,0.05672240647841782,0.181401133880389
1179,16,20000,1.4,0.06256257070036668,0.16140983540548764
1180,16,20000,1.4,0.05754128585374995,0.14584721074758714
1181,16,20000,1.6,0.09027550556718004,0.13929814739788376
1182,16,20000,1.6,0.061918568932800205,0.1964437472201301
1183,16,20000,1.6,0.0660676288892921,0.2067893314642776
1184,16,20000,1.6,0.0619765671849285,0.19465201214481415
1185,16,20000,1.6,0.07197961283357988,0.1897049593452919
1186,16,20000,1.6,0.07431101381979066,0.20897187150519547
1187,16,20000,1.6,0.06942320065752275,0.20995304327696
1188,16,20000,1.6,0.05997710417994423,0.1996187618574262
1189,16,20000,1.6,0.06404131034376685,0.19726863649783039
1190,16,20000,1.6,0.06373087791496274,0.19456574879178776
1191,16,20000,1.8,0.06440590897278044,0.22623944373085655
1192,16,20000,1.8,0.07275543349503164,0.2333981815706766
1193,16,20000,1.8,0.07571988117591155,0.22016033174774557
1194,16,20000,1.8,0.07460923986426467,0.21061846491604888
1195,16,20000,1.8,0.09183691674040476,0.1577595564553064
1196,16,20000,1.8,0.08598168740274822,0.20592319068752735
1197,16,20000,1.8,0.06709173881521743,0.2273858065047209
1198,16,20000,1.8,0.0991908121554217,0.17981332596100025
1199,16,20000,1.8,0.07364138761693949,0.23516053585231658
1200,16,20000,1.8,0.16228020409840094,0.2068841227613183
1201,16,40000,1.0,0.044753464575919936,0.10150758454317134
1202,16,40000,1.0,0.044043952265958794,0.10797576359983349
1203,16,40000,1.0,0.04450099269484377,0.10724481744827821
1204,16,40000,1.0,0.045301399087456895,0.10827094396680173
1205,16,40000,1.0,0.04801130227965427,0.0925665483985187
1206,16,40000,1.0,0.03992321056294388,0.09996409177142741
1207,16,40000,1.0,0.04325415911098421,0.10163864889146672
1208,16,40000,1.0,0.04318125228970735,0.10735393509635954
1209,16,40000,1.0,0.049529931577843606,0.09384490139490965
1210,16,40000,1.0,0.04131727939949302,0.10498873565022349
1211,16,40000,1.2,0.05267895656123454,0.11089339741810741
1212,16,40000,1.2,0.0528932174860604,0.10754121889096502
1213,16,40000,1.2,0.042463694722533564,0.07483492560152166
1214,16,40000,1.2,0.05088865625765693,0.09813984468387615
1215,16,40000,1.2,0.04537310417466517,0.12785514162052156
1216,16,40000,1.2,0.05477247935479563,0.1326942433176115
1217,16,40000,1.2,0.043776934750373336,0.12745518406547432
1218,16,40000,1.2,0.05522911237333695,0.1347639955039143
1219,16,40000,1.2,0.047232628042702576,0.12956729225114624
1220,16,40000,1.2,0.04959462760347314,0.1203677664892034
1221,16,40000,1.4,0.05912991739010897,0.12888077108460402
1222,16,40000,1.4,0.059799949307748596,0.14300721690503604
1223,16,40000,1.4,0.04892449921960724,0.13426262138462816
1224,16,40000,1.4,0.05270992971210284,0.15574642958923823
1225,16,40000,1.4,0.0549822121525387,0.1443081140619401
1226,16,40000,1.4,0.05527998454384715,0.1526516704163139
1227,16,40000,1.4,0.0568767761459361,0.15395710633089532
1228,16,40000,1.4,0.06843337156191523,0.12663237935649807
1229,16,40000,1.4,0.06367928644921288,0.15979191295281825
1230,16,40000,1.4,0.056653514398393015,0.15650757361650064
1231,16,40000,1.6,0.07069310375838389,0.18446228017233054
1232,16,40000,1.6,0.0536515306056629,0.15576412326197944
1233,16,40000,1.6,0.06209673555351858,0.16244774056459543
1234,16,40000,1.6,0.06802816368495894,0.15441916481672788
1235,16,40000,1.6,0.07031903431865712,0.1835147305119817
1236,16,40000,1.6,0.08337467479636464,0.15434422700897682
1237,16,40000,1.6,0.05787345514256759,0.17600685749328274
1238,16,40000,1.6,0.051834266918522706,0.17122666454271762
1239,16,40000,1.6,0.09329190849050503,0.11517313742717206
1240,16,40000,1.6,0.061947743375460274,0.16760592438102728
1241,16,40000,1.8,0.06860908436327753,0.17178061603026903
1242,16,40000,1.8,0.07568498834723988,0.20587653314820592
1243,16,40000,1.8,0.07635491111284588,0.20655176340843226
1244,16,40000,1.8,0.07516582506829626,0.20597508196370812
1245,16,40000,1.8,0.0760354968141657,0.20643459598190197
1246,16,40000,1.8,0.055882397437999026,0.1861234819631239
1247,16,40000,1.8,0.13795307084777989,0.17400515690809948
1248,16,40000,1.8,0.06187000670585048,0.18247899264045203
1249,16,40000,1.8,0.1019296887372358,0.16933169730228667
1250,16,40000,1.8,0.07623667152319587,0.2056079450495583
1251,16,60000,1.0,0.04403966750004567,0.09719209824792231
1252,16,60000,1.0,0.04395921820975899,0.09811645111989342
1253,16,60000,1.0,0.04358300133288617,0.09939752914005234
1254,16,60000,1.0,0.046444838358711035,0.0900669668743934
1255,16,60000,1.0,0.05634368718099641,0.09042708588665356
1256,16,60000,1.0,0.05698185563732823,0.08392873707096407
1257,16,60000,1.0,0.05903461002471179,0.06332058416575927
1258,16,60000,1.0,0.0482623403231554,0.07118788973788259
1259,16,60000,1.0,0.04109576718203604,0.07949635083081634
1260,16,60000,1.0,0.04364470972141716,0.09494206880259842
1261,16,60000,1.2,0.044185395199645296,0.11934033523013517
1262,16,60000,1.2,0.08043586169304211,0.09315840213990884
1263,16,60000,1.2,0.0466388533476331,0.11757667851129301
1264,16,60000,1.2,0.05649925927007599,0.09837464892072151
1265,16,60000,1.2,0.04980560844363237,0.11920697100554989
1266,16,60000,1.2,0.06251391294950231,0.08901808463165818
1267,16,60000,1.2,0.049293966464857744,0.11809198442681436
1268,16,60000,1.2,0.05407201816645018,0.12286842313035441
1269,16,60000,1.2,0.05401743284142115,0.12263602743188368
1270,16,60000,1.2,0.056099080220446434,0.08928340191670983
1271,16,60000,1.4,0.054643677767309544,0.1302944946193751
1272,16,60000,1.4,0.06327214424632958,0.11142541979899262
1273,16,60000,1.4,0.052142886693203494,0.14335198688332826
1274,16,60000,1.4,0.05255420207502408,0.1195404547171174
1275,16,60000,1.4,0.05066592139035069,0.13940363004132342
1276,16,60000,1.4,0.07152915128004043,0.11072259233219742
1277,16,60000,1.4,0.04312752373089656,0.14017659115697736
1278,16,60000,1.4,0.05636826562393262,0.12836874268811332
1279,16,60000,1.4,0.0569787229336851,0.14308922370405308
1280,16,60000,1.4,0.06393471904212268,0.12318868687359318
1281,16,60000,1.6,0.05649590986344346,0.1623576886437666
1282,16,60000,1.6,0.057171968211207055,0.14175648672555996
1283,16,60000,1.6,0.08119357750580006,0.137973936707518
1284,16,60000,1.6,0.06966257302836593,0.16987984272072004
1285,16,60000,1.6,0.06803974160412032,0.15094896257614096
1286,16,60000,1.6,0.0574634292729828,0.15707609460961736
1287,16,60000,1.6,0.055229352798492094,0.15877954756602633
1288,16,60000,1.6,0.06174014479723943,0.1525075364444216
1289,16,60000,1.6,0.05522644602741706,0.13838438006270223
1290,16,60000,1.6,0.06971774794584544,0.16869272974015734
1291,16,60000,1.8,0.07524137932333777,0.19115089150474907
1292,16,60000,1.8,0.08326704568395007,0.10338507959745291
1293,16,60000,1.8,0.08978281011832653,0.14982102848108075
1294,16,60000,1.8,0.06465950670596711,0.1738230591027341
1295,16,60000,1.8,0.08847297815733798,0.13339908972594025
1296,16,60000,1.8,0.07530102594023354,0.19035842480802734
1297,16,60000,1.8,0.07834134268963615,0.14202963538425445
1298,16,60000,1.8,0.06461535706212063,0.1656530627991905
1299,16,60000,1.8,0.09528876493509675,0.13368555154299705
1300,16,60000,1.8,0.06034904435850636,0.1825586078785745
1301,17,10000,1.0,0.0567970656045592,0.15093360129818634
1302,17,10000,1.0,0.059238703761320365,0.13986935991440094
1303,17,10000,1.0,0.05852114159077998,0.1305073392424402
1304,17,10000,1.0,0.05738836920761783,0.15043188601628726
1305,17,10000,1.0,0.05819756697412264,0.15085070150909796
1306,17,10000,1.0,0.06602834749470171,0.12287096198152059
1307,17,10000,1.0,0.059656115944292286,0.15166356292921493
1308,17,10000,1.0,0.06022297810201431,0.14981221346975815
1309,17,10000,1.0,0.058322944261360934,0.15336045144620475
1310,17,10000,1.0,0.05835264159377903,0.14861663287111987
1311,17,10000,1.2,0.06651511800192048,0.16781245837458553
1312,17,10000,1.2,0.06692900443818665,0.18581103583887645
1313,17,10000,1.2,0.06711611871481418,0.18503592520143308
1314,17,10000,1.2,0.07051074756426375,0.17113785413159135
1315,17,10000,1.2,0.07211279002689579,0.15627089938843766
1316,17,10000,1.2,0.06696431051611976,0.18535636192556013
1317,17,10000,1.2,0.06402610033332634,0.17731257286915
1318,17,10000,1.2,0.06980464764414232,0.18398089615476312
1319,17,10000,1.2,0.06644476975091804,0.18519340708416468
1320,17,10000,1.2,0.07160976368558909,0.1589600812743613
1321,17,10000,1.4,0.07840881750232562,0.19376560385514785
1322,17,10000,1.4,0.09837848344978556,0.15189109009762933
1323,17,10000,1.4,0.06915193574733057,0.208203464779547
1324,17,10000,1.4,0.07287393385122981,0.19546712883074166
1325,17,10000,1.4,0.07227677566011398,0.21252666008165363
1326,17,10000,1.4,0.08128696690821485,0.1783676462152718
1327,17,10000,1.4,0.07567857401077818,0.21706769223696382
1328,17,10000,1.4,0.06835664980707905,0.2067061186774387
